Project ID,Start Term,X Stu First Gen No Bach ,X Stu First Gen No College ,Pell Grant?,Midterm GPA,Athlete (December),X Stu Cum Gpa (December),X Stu Housing Fall,Retained to Fall 2?,Retained to Fall 3,Fall Campus Job?,# of campus orgs (December),# Midterm D or F,% of Midterm Grades are D or F,# Non-Lab STEM Courses,# STEM Courses Earned Credit,% of STEM Courses earning credit,# Classes Passed,% of Classes Passed
1659,2019FA,No,No,No,1.75,No,1.075,COMMUTER,No,Not Applicable,No,0,1,25.00%,1,0,0.00%,2,50.00%
1660,2019FA,No,No,No,2.5,No,2.675,RESIDENT,No,Not Applicable,No,0,0,0.00%,1,1,100.00%,4,100.00%
1661,2019FA,Yes,Yes,Yes,0,No,0,RESIDENT,No,Not Applicable,No,3,4,100.00%,1,0,0.00%,0,0.00%
1662,2019FA,Yes,Yes,Yes,0.5,No,,RESIDENT,No,Not Applicable,No,0,4,80.00%,1,0,0.00%,0,0.00%
1663,2019FA,Yes,No,Yes,2.75,No,2.575,RESIDENT,No,Not Applicable,No,0,0,0.00%,2,2,100.00%,4,100.00%
1664,2019FA,Yes,Yes,No,2.5,No,1.425,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,2,2,100.00%,4,80.00%
1665,2019FA,No,No,No,2.75,Yes,2.75,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,4,100.00%
1666,2019FA,No,No,No,2.25,No,2.325,RESIDENT,No,Not Applicable,Yes,4,0,0.00%,0,0,Not Applicable,4,100.00%
1667,2019FA,Yes,Yes,No,2.5,Yes,2.85,RESIDENT,Yes,Not Applicable,No,2,1,25.00%,0,0,Not Applicable,4,100.00%
1668,2019FA,No,No,Yes,2.5882,No,2.588,COMMUTER,Yes,Not Applicable,No,0,1,20.00%,0,0,Not Applicable,5,100.00%
1669,2019FA,No,No,No,2.5,No,2.425,RESIDENT,Yes,Not Applicable,No,1,1,20.00%,0,0,Not Applicable,4,100.00%
1670,2019FA,No,No,No,3.25,Yes,3.575,RESIDENT,No,Not Applicable,No,2,0,0.00%,1,1,100.00%,4,100.00%
1671,2019FA,Yes,Yes,Yes,3.25,No,2.775,RESIDENT,Yes,Not Applicable,Yes,5,0,0.00%,1,1,100.00%,4,100.00%
1672,2019FA,No,No,No,3.25,No,3.25,COMMUTER,Yes,Not Applicable,Yes,0,0,0.00%,0,0,Not Applicable,4,100.00%
1673,2019FA,No,No,Yes,1.75,Yes,2.5,RESIDENT,Yes,Not Applicable,No,1,1,25.00%,2,2,100.00%,4,100.00%
1674,2019FA,No,No,Yes,2.8889,No,2.25,RESIDENT,Yes,Not Applicable,No,3,0,0.00%,1,1,100.00%,5,100.00%
1675,2019FA,Yes,Yes,No,3.3333,No,2.567,COMMUTER,Yes,Not Applicable,No,0,0,0.00%,4,2,50.00%,4,66.70%
1676,2019FA,No,No,Yes,2.25,No,2.675,RESIDENT,Yes,Not Applicable,No,0,0,0.00%,1,1,100.00%,4,100.00%
1677,2019FA,Yes,Yes,No,2.25,Yes,1.85,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,4,100.00%
1678,2019FA,Yes,No,Yes,1,No,1.075,RESIDENT,Yes,Not Applicable,No,3,2,50.00%,0,0,Not Applicable,3,75.00%
1679,2019FA,No,No,Yes,2.75,Yes,3.425,RESIDENT,Yes,Not Applicable,No,3,0,0.00%,1,1,100.00%,4,100.00%
1680,2019FA,No,No,Yes,3.75,Yes,3.85,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,1,1,100.00%,4,100.00%
1681,2019FA,No,No,Yes,3.3333,No,3.844,RESIDENT,Yes,Not Applicable,No,3,0,0.00%,2,2,100.00%,5,100.00%
1682,2019FA,No,No,Yes,3.75,No,4,RESIDENT,No,Not Applicable,No,3,0,0.00%,0,0,Not Applicable,4,100.00%
1683,2019FA,No,No,No,1.5,No,1.925,RESIDENT,Yes,Not Applicable,No,1,2,33.30%,3,3,100.00%,3,60.00%
1684,2019FA,Unknown,Unknown,No,2.25,Yes,1.425,RESIDENT,No,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,3,75.00%
1685,2019FA,No,No,No,3.3333,No,3.433,RESIDENT,No,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,3,75.00%
1686,2019FA,No,No,No,2.75,No,3.075,COMMUTER,No,Not Applicable,No,0,0,0.00%,0,0,Not Applicable,4,100.00%
